	pc1	pc2	group
sims_18_0_0.968.jpg	-7.7621527	-2.8076386	cluster 2
sims_32_0_0.808.jpg	-6.2901373	9.254019	cluster 2
sims_30_0_0.788.jpg	-6.5017447	7.48445	cluster 2
sims_21_0_0.613.jpg	0.42619532	11.906927	cluster 2
sims_17_0_0.957.jpg	-11.035672	-6.6537476	cluster 2
sims_20_0_0.956.jpg	-12.306856	-8.495594	cluster 2
sims_9_0_-0.889.jpg	-2.2818382	-7.180179	cluster 2
sims_6_0_0.21.jpg	7.0406694	11.4138565	cluster 2
sims_12_0_-0.902.jpg	-13.745712	1.2241637	cluster 2
sims_10_0_-0.915.jpg	-12.61914	5.5442843	cluster 2
sims_25_0_0.901.jpg	-12.236994	-7.2899337	cluster 2
sims_11_0_-0.888.jpg	-1.1728324	-2.5709603	cluster 2
sims_8_0_0.418.jpg	14.058284	4.724222	cluster 2
sims_33_0_0.273.jpg	10.919849	-1.3636193	cluster 1
sims_27_0_0.909.jpg	-16.076	-0.30712193	cluster 2
sims_16_0_0.994.jpg	2.3675754	-4.1854863	cluster 2
sims_4_0_0.078.jpg	6.36077	-10.943969	cluster 2
sims_2_0_0.096.jpg	4.071561	-8.054278	cluster 2
sims_28_0_0.919.jpg	-8.52252	2.0205793	cluster 2
sims_5_0_-0.242.jpg	10.714606	5.515996	cluster 2
sims_36_0_0.379.jpg	9.20476	-6.1201696	cluster 2
sims_3_0_0.099.jpg	8.035644	-4.5200753	cluster 2
sims_35_0_0.288.jpg	15.750604	-5.4221053	cluster 1
sims_26_0_0.921.jpg	-8.752345	-5.3064985	cluster 2
sims_31_0_0.787.jpg	-7.0932126	11.158786	cluster 2
sims_1_0_0.113.jpg	8.974532	-10.986538	cluster 2
sims_15_0_0.989.jpg	-3.1584935	-2.0652423	cluster 2
sims_13_0_0.992.jpg	6.740272	-6.0801163	cluster 2
sims_22_0_0.705.jpg	4.366045	11.376103	cluster 2
sims_23_0_0.525.jpg	5.588875	10.70688	cluster 2
sims_29_0_0.846.jpg	-2.5020032	11.206327	cluster 2
sims_34_0_0.429.jpg	18.76269	-7.1854463	cluster 1
sims_14_0_0.988.jpg	-0.6633723	-0.55239946	cluster 2
sims_24_0_0.807.jpg	2.2692118	9.211541	cluster 2
sims_7_0_0.181.jpg	9.716864	5.84921	cluster 2
sims_19_0_0.946.jpg	-12.647981	-10.506228	cluster 2
